sentence,sentiment,processed_text,positive_score,negative_score
awesome viral marketing for funny people,1,awesome viral marketing funny people,0.7,0.0
saw night at the museum out of sheer desperation who is funding these movies,0,saw night museum sheer desperation funding movie,0.0,0.333
night at the museum pretty furkin good,1,night museum pretty furkin good,0.67,0.0
watching night at the museum giggling,1,watching night museum giggling,0.455,0.0
back from seeing star trek and night at the museum star trek was amazing but night at the museum was eh,0,back seeing star trek night museum star trek amazing night museum eh,0.257,0.0
just watched night at the museum so stinkin cute,1,watched night museum stinkin cute,0.429,0.0
so night at the museum was awesome much better than part next weekend we ll see up,1,night museum awesome much better part next weekend see,0.5,0.0
saw the new night at the museum and i loved it next is to go see up in d,1,saw new night museum loved next go see,0.358,0.0
it is a shame about gm what if they are forced to make only cars the white house thinks will sell what do you think,0,shame gm forced make car white house think sell think,0.0,0.433
as u may have noticed not too happy about the gm situation nor aig lehman et al,0,u may noticed happy gm situation aig lehman et al,0.316,0.0
gm good riddance sad though,0,gm good riddance sad though,0.322,0.344
i will never buy a government motors vehicle until just recently i drove gm cars since when i bought a,0,never buy government motor vehicle recently drove gm car since bought,0.0,0.0
having the old coca cola guy on the gm board is stupid has heck tcot ala,0,old coca cola guy gm board stupid heck tcot ala,0.0,0.274
rantsandraves the worst thing about gm concord pleasant hill martinez is the fucking uaw,0,rantsandraves worst thing gm concord pleasant hill martinez fucking uaw,0.214,0.266
give a man a fish u feed him for the day teach him to fish u feed him for life buy him gm and u f k him over for good,0,give man fish u feed day teach fish u feed life buy gm u f k good,0.209,0.0
the more i hear about this gm thing the more angry i get billions wasted more bullshit all for something like k employees and all the,0,hear gm thing angry get billion wasted bullshit something like k employee,0.126,0.52
i own a gm car and it is junk as far as quality compared to a honda,0,gm car junk far quality compared honda,0.0,0.0
sad day bankrupt gm,0,sad day bankrupt gm,0.0,0.77
is upset about the whole gm thing life as i know it is so screwed up,0,upset whole gm thing life know screwed,0.0,0.537
whoever is running time warner needs to be repeatedly raped by a rhino so they understand the consequences of putting out shitty cable svcs,0,whoever running time warner need repeatedly raped rhino understand consequence putting shitty cable svcs,0.0,0.406
wftb joining a bit late my connection was down boo time warner,0,wftb joining bit late connection boo time warner,0.0,0.0
cox or time warner cox is cheaper and gets a b on dslreports tw is more expensive and gets a c,0,cox time warner cox cheaper get b dslreports tw expensive get c,0.0,0.0
i am furious with time warner and their phone promotions,0,furious time warner phone promotion,0.0,0.481
just got home from chick fil a with the boys damn my internets down stupid time warner,0,got home chick fil boy damn internet stupid time warner,0.0,0.433
could time warner cable suck more no,0,could time warner cable suck,0.0,0.42
pissed at time warner for causin me to have slow internet problems,0,pissed time warner causin slow internet problem,0.0,0.58
ummm having some time warner problems,0,ummm time warner problem,0.0,0.474
you guys see this why does time warner have to suck so much ass really wish i could get u verse at my apartment,0,guy see time warner suck much as really wish could get u verse apartment,0.177,0.172
rt the upside to time warner unhelpful phone operators superslow on site service crap that s not an upside,0,rt upside time warner unhelpful phone operator superslow site service crap upside,0.0,0.191
rt new time warner slogan time warner where we make you long for the days before cable,0,rt new time warner slogan time warner make long day cable,0.0,0.0
confirmed it s time warner s fault not facebook s that fb is taking about minutes to load so tempted to switch to verizon,0,confirmed time warner fault facebook fb taking minute load tempted switch verizon,0.0,0.197
time warner epic fail,0,time warner epic fail,0.0,0.538
i know how sad is that rt st day of hurricane season that s less scarey than govt taking over gm,0,know sad rt st day hurricane season less scarey govt taking gm,0.0,0.355
gm files bankruptcy not a good sign,0,gm file bankruptcy good sign,0.42,0.0
yankees won mets lost its a good day,1,yankee mets lost good day,0.354,0.28
my dentist appt today was actually quite enjoyable,1,dentist appt today actually quite enjoyable,0.39,0.0
i hate the effing dentist,0,hate effing dentist,0.0,0.649
i hate going to the dentist,0,hate going dentist,0.0,0.649
i hate the dentist who invented them anyways,0,hate dentist invented anyways,0.0,0.552
this dentist s office is cold,0,dentist office cold,0.0,0.0
just applied at safeway yeeeee,1,applied safeway yeeeee,0.0,0.0
safeway place is a nightmare right now bumming,0,safeway place nightmare right bumming,0.0,0.0
hate safeway select green tea icecream bought two cartons what a waste of money gt _ lt,0,hate safeway select green tea icecream bought two carton waste money gt lt,0.113,0.349
nike rocks i m super grateful for what i ve done with them amp the european division of nike is beyond,1,nike rock super grateful done amp european division nike beyond,0.463,0.0
have you tried nike v addictive,1,tried nike v addictive,0.0,0.0
the nike training club beta iphone app looks very interesting,1,nike training club beta iphone app look interesting,0.278,0.0
argghhhh why won t my jquery appear in safari bad safari,0,argghhhh jquery appear safari bad safari,0.0,0.412
i m ready to drop the pretenses i am forever in love with jquery and i want to marry it sorry ladies this nerd is jquery spokenfor js,1,ready drop pretense forever love jquery want marry sorry lady nerd jquery spokenfor j,0.388,0.272
super investors a great weekend read here from warren buffet oldie but a goodie,1,super investor great weekend read warren buffet oldie goodie,0.533,0.0
reading michael palin book the python years great book i also recommend warren buffet amp nelson mandela s bio,1,reading michael palin book python year great book also recommend warren buffet amp nelson mandela bio,0.32,0.0
i mean i m down with notre dame if i have to it s a good school i d be closer to dan i d enjoy it,1,mean notre dame good school closer dan enjoy,0.504,0.0
i can t watch tv without a tivo and after all these years the time warner dvr still sucks,0,watch tv without tivo year time warner dvr still suck,0.0,0.244
i d say some sports writers are idiots for saying roger federer is one of the best ever in tennis roger federer is the best ever in tennis,1,say sport writer idiot saying roger federer one best ever tennis roger federer best ever tennis,0.34,0.134
i still love my kindle but reading the new york times on it does not feel natural i miss the bloomingdale ads,0,still love kindle reading new york time feel natural miss bloomingdale ad,0.387,0.092
i love my kindle no more stacks of books to trip over on the way to the loo,1,love kindle stack book trip way loo,0.412,0.0
although today s keynote rocked for every great announcement at amp t shit on us just a little bit more,0,although today keynote rocked every great announcement amp shit u little bit,0.246,0.216
its not so much my obsession with cell phones but the iphone i m a slave to at amp t forever because of it,0,much obsession cell phone iphone slave amp forever,0.0,0.255
fuzzball is more fun than at amp t p,0,fuzzball fun amp p,0.623,0.0
today is a good day to dislike at amp t vote out of office indeed,0,today good day dislike amp vote office indeed,0.252,0.226
got my wave sandbox invite extra excited too bad i have class now but i ll play with it soon enough io wave,1,got wave sandbox invite extra excited bad class play soon enough io wave,0.339,0.185
looks like summize has gone down too many tweets from wwdc perhaps,0,look like summize gone many tweet wwdc perhaps,0.263,0.0
thanks so much from one of your very happy kindle winners i was so surprised fabulous thank you best kathleen,1,thanks much one happy kindle winner surprised fabulous thank best kathleen,0.848,0.0
man i kinda dislike apple right now case in point the iphone gs wish there was a video recorder app please,0,man kinda dislike apple right case point iphone g wish video recorder app please,0.289,0.133
i have a kindle amp sony prs like it physical device feels good font is nice pg turns are snappy enuf ui a little klunky,1,kindle amp sony pr like physical device feel good font nice pg turn snappy enuf ui little klunky,0.353,0.0
the kindle seems the best ereader but will it work in the uk and where can i get one,1,kindle seems best ereader work uk get one,0.375,0.0
i have a google addiction thank you for pointing that out hahaha,1,google addiction thank pointing hahaha,0.67,0.0
dearest you rich bastards the visa card you sent me doesn t work why screw a little guy like me,0,dearest rich bastard visa card sent work screw little guy like,0.464,0.241
excited about seeing bobby flay and guy fieri tomorrow at the great american food amp music fest,1,excited seeing bobby flay guy fieri tomorrow great american food amp music fest,0.371,0.0
gonna go see bobby flay moro at shoreline eat and drink gonna be good,1,gon na go see bobby flay moro shoreline eat drink gon na good,0.195,0.0
can t wait for the great american food and music festival at shoreline tomorrow mmm katz pastrami and bobby flay yes please,1,wait great american food music festival shoreline tomorrow mmm katz pastrami bobby flay yes please,0.528,0.0
my dad was in ny for a day we ate at mesa grill last night and met bobby flay so much fun except i completely lost my voice today,1,dad ny day ate mesa grill last night met bobby flay much fun except completely lost voice today,0.151,0.118
fighting with latex again,0,fighting latex,0.0,0.714
we love you too and don t want you to die latex the devil,0,love want die latex devil,0.372,0.561
hours hours of inkscape crashing normally solid as a rock hours of latex complaining at the slightest thing i can t take any more,0,hour hour inkscape crashing normally solid rock hour latex complaining slightest thing take,0.111,0.125
shit s hitting the fan in iran craziness indeed iranelection,0,shit hitting fan iran craziness indeed iranelection,0.184,0.496
monday already iran may implode kitchen is a disaster seems happy had a nice weekend and is great whoop,0,monday already iran may implode kitchen disaster seems happy nice weekend great whoop,0.447,0.173
getting ready to test out some burger receipes this weekend bobby flay has some great receipes to try thanks bobby,1,getting ready test burger receipes weekend bobby flay great receipes try thanks bobby,0.487,0.0
i lam so in love with bobby flay he is my favorite rt you need a place in phoenix we have great peppers here,1,lam love bobby flay favorite rt need place phoenix great pepper,0.585,0.0
i just created my first latex file from scratch that didn t work out very well see it s a great time waster,0,created first latex file scratch work well see great time waster,0.506,0.0
using linux and loving it so much nicer than windows looking forward to using the wysiwyg latex editor,1,using linux loving much nicer window looking forward using wysiwyg latex editor,0.405,0.0
after using latex a lot any other typeset mathematics just looks hideous,1,using latex lot typeset mathematics look hideous,0.0,0.0
on that note i hate word i hate pages i hate latex there i said it i hate latex all you texn rds can come kill me now,0,note hate word hate page hate latex said hate latex texn rds come kill,0.0,0.684
ahhh back in a real text editing environment i lt latex,1,ahhh back real text editing environment lt latex,0.0,0.0
trouble in iran i see hmm iran iran so far away flockofseagullsweregeopoliticallycorrect,0,trouble iran see hmm iran iran far away flockofseagullsweregeopoliticallycorrect,0.0,0.252
reading the tweets coming out of iran the whole thing is terrifying and incredibly sad,0,reading tweet coming iran whole thing terrifying incredibly sad,0.0,0.503
